Ticker,Darabszám,Bekerülési ár ($/db),Megjegyzés,"Elemzői célár (konszenzus, $)",Árcél változás,Árcél változás dátum,Célár riasztás aktív,Célár átlépve?,Trigger,Ár / % mozgás,unusual volume szorzó,52W közelség %,Hírfigyelés,Latest PT,Consensus PT,% diff
UNH,8,"327,76", ,"342,58",+342.58,2025-09-30,Igen,,–5% esés vagy +5% emelkedés,,,,igen,,,
BABA,8,"146,9", ,"182,29",+182.29,2025-09-30,Igen,,–5% esés vagy +5% emelkedés,,,,igen,,,
SNPS,11,"398,92", ,"562,37",+562.37,2025-09-30,Igen,,–5% esés vagy +5% emelkedés,,,,igen,,,
AAPL,16,"237,9", ,"246,23",+246.23,2025-10-02,Igen,,–5% esés vagy +5% emelkedés,,,,igen,,,
GOOG,26,"226,17", ,"240,65",+240.65,2025-09-30,Igen,,–5% esés vagy +5% emelkedés,,,,igen,,,
NVDA,37,"177,79",,"213,99",+213.99,2025-10-02,Igen,,–5% esés vagy +5% emelkedés,,,,igen,,,
RGTI,100,"32,04", ,"19,17",+19.17,2025-09-30,Igen,,–5% esés vagy +5% emelkedés,,,,igen,,,
UBER,40,"95,4",,"107,62",+107.62,2025-10-02,Igen,,–5% esés vagy +5% emelkedés,,,,igen,,,
AVGO,13,"298,22",,"367,8",+367.8,2025-09-30,Igen,,–5% esés vagy +5% emelkedés,,,,igen,,,
TSM,42,"242,23", ,"291,82",+291.82,2025-09-30,Igen,,–5% esés vagy +5% emelkedés,,,,igen,,,
AMZN,27,"228,94", ,266,+266,2025-10-01,Igen,,–5% esés vagy +5% emelkedés,,,,igen,,,
GTLB,98,"48,38",,"58,46",-58.46,2025-10-01,Igen,,–5% esés vagy +5% emelkedés,,,,igen,,,
META,8,725, ,,,±10%,Igen,,–5% esés vagy +5% emelkedés,,,,igen,,,
MSFT,8,"516,4",,,,,,,,,,,,,,
AMD,19,"169,2",,,,,,,,,,,,,,
MSTR,15,"338,6",,"243,55",+243.55,2025-09-30,Igen,,–5% esés vagy +5% emelkedés,,,,igen,,,
NBIS,30,"114,04",,153,+153,2025-09-30,Igen,,–5% esés vagy +5% emelkedés,,,,igen,,,
MU,5,"196",,"168,17",+168.17,2025-09-30,Igen,,–5% esés vagy +5% emelkedés,,,,igen,,,
CRWV,17,"140,205",,957,+957,2025-09-30,Igen,,–5% esés vagy +5% emelkedés,,,,igen,,,
WDAY,,,,"282,13",+282.13,2025-09-30,Igen,,–5% esés vagy +5% emelkedés,,,,igen,,,
LULU,,,,"196,95",+196.95,2025-09-30,Igen,,–5% esés vagy +5% emelkedés,,,,igen,,,
OPTN,,,,,,±10%,Igen,,–5% esés vagy +5% emelkedés,,,,igen,,,
FTNT,,,,"90,32",+90.32,2025-09-30,Igen,,–5% esés vagy +5% emelkedés,,,,igen,,,
UEC,,,,"15,36",+15.36,2025-10-01,Igen,,–5% esés vagy +5% emelkedés,,,,igen,,,
TLN,,,,"431,44",+431.44,2025-09-30,Igen,,–5% esés vagy +5% emelkedés,,,,igen,,,
OKTA,,,,"120,37",+120.37,2025-09-30,Igen,,–5% esés vagy +5% emelkedés,,,,igen,,,
FDX,,,,"264,82",+264.82,2025-09-30,Igen,,–5% esés vagy +5% emelkedés,,,,igen,,,
LNTH,,,,"89,5",+89.5,2025-09-30,Igen,,–5% esés vagy +5% emelkedés,,,,igen,,,
PANW,,,,"214,99",+214.99,2025-09-30,Igen,,–5% esés vagy +5% emelkedés,,,,igen,,,
ANET,,,,"156,38",+156.38,2025-09-30,Igen,,–5% esés vagy +5% emelkedés,,,,igen,,,
FSLR,,,,"222,53",+222.53,2025-10-02,Igen,,–5% esés vagy +5% emelkedés,,,,igen,,,
